FSC-A,SSC-A,CD3,CD4,CD8,CD14,CD19,CD45,CD56,CD20,sample_id
28346.4525231782,37206.91673635635,9149.366814565436,3724.9543189038372,841.2596044705256,10.0,12.0,6861.150744386627,1340.1298645630675,12.0,test_sample_2
44148.17548911455,23473.25172894914,9961.36379119666,4857.60430896665,570.6759355769896,1019.4725877918067,988.3718123187887,7510.314824870221,1057.2550474870388,300.5135830926036,test_sample_1
78731.37964050582,23316.91892036261,1526.1816619106464,5205.921573519898,807.8542962868704,825.6515075408607,699.3318054486984,8938.052278789257,19.074012329564113,12.0,test_sample_2
52876.610727578875,12129.85996270468,808.9406666824461,43.65250723541119,333.31649776237316,2140.3840719846194,10.0,8220.2068930414,673.4477746242394,634.3989032254759,test_sample_1
30537.430386218202,24084.759112947228,1023.1014932124433,139.29440754405056,48.59761757441669,1266.6513782798595,2624.543938696852,5372.8399065975,946.968288722796,4948.202672460995,test_sample_1
55212.65040507106,47069.81376137494,289.7205422758618,1376.993052960468,1301.086385479542,4615.579223731124,841.0556589403678,4200.981381560451,772.8303150787417,75.5421366106944,test_sample_3
43377.01173221366,38332.9047075301,565.7970849206486,3190.2605766552033,1386.791440238396,2548.8605059074293,282.09988170479613,9927.504605807513,1159.5374945661174,633.0327787166998,test_sample_2
84150.05863246381,40059.41346099417,1343.9206161606614,1043.7797927219156,342.4615116187448,8260.428297327517,1338.0678581352515,7362.411072965795,1205.4949424338884,10.0,test_sample_3
47422.09847885085,17225.95272841487,6903.375648935515,7582.28928395276,802.6290226333533,611.0035090298952,1120.5106265157228,11951.026636428858,995.8046743763877,97.568863650557,test_sample_1
58917.263535959675,27047.120782541995,431.4013631556728,10.0,10.0,12.0,5427.910106481904,5634.458909604046,1118.4270189377994,6837.829723147251,test_sample_2
51494.54614835393,27759.206772570524,780.7927367540655,551.7938080446628,922.8698715836703,120.30600783353019,6250.827543941134,6761.574485298879,658.2213112339533,6168.695946262654,test_sample_3
60172.25253364351,22085.668721305155,842.363330904327,12.0,619.9189078226615,247.0713718762699,299.30823677203887,7264.90061599428,5293.788121883625,705.8592051250173,test_sample_3
